COUNTY,RISK_RATNG
Franklin,Relatively Low
Gibson,Relatively Moderate
Giles,Relatively Low
Grainger,Very Low
Greene,Very Low
Grundy,Very Low
Hamblen,Very Low
Hamilton,Relatively Moderate
Hancock,Very Low
Hardeman,Relatively Low
Hardin,Relatively Low
Hawkins,Very Low
Haywood,Relatively Low
Henderson,Relatively Low
Henry,Relatively Low
Hickman,Very Low
Houston,Very Low
Humphreys,Very Low
Jackson,Very Low
Jefferson,Very Low
Johnson,Very Low
Knox,Relatively Moderate
Lake,Relatively Low
Lauderdale,Relatively Low
Lawrence,Relatively Low
Lewis,Very Low
Lincoln,Relatively Low
Loudon,Very Low
McMinn,Relatively Low
McNairy,Relatively Low
Macon,Very Low
Madison,Relatively Moderate
Marion,Relatively Low
Marshall,Relatively Low
Maury,Relatively Low
Meigs,Very Low
Monroe,Relatively Low
Montgomery,Relatively Moderate
Moore,Very Low
Morgan,Very Low
Obion,Relatively Low
Overton,Very Low
Perry,Very Low
Pickett,Very Low
Polk,Very Low
Putnam,Relatively Low
Rhea,Relatively Low
Roane,Very Low
Robertson,Relatively Low
Rutherford,Relatively Moderate
Scott,Very Low
Sequatchie,Very Low
Sevier,Relatively Low
Shelby,Relatively High
Smith,Very Low
Stewart,Very Low
Sullivan,Relatively Low
Sumner,Relatively Moderate
Tipton,Relatively Low
Trousdale,Very Low
Unicoi,Very Low
Union,Very Low
Van Buren,Very Low
Warren,Relatively Low
Washington,Relatively Low
Wayne,Very Low
Weakley,Relatively Low
White,Very Low
Williamson,Relatively Low
Wilson,Relatively Low
Anderson,Relatively Low
Andrews,Very Low
Angelina,Relatively Low
Aransas,Relatively Moderate
Archer,Very Low
Armstrong,Very Low
Atascosa,Relatively Low
Austin,Relatively Low
Bailey,Relatively Low
Bandera,Relatively Low
Bastrop,Relatively Low
Baylor,Very Low
Bee,Relatively Low
Bell,Relatively Moderate
Bexar,Relatively High
Blanco,Very Low
Borden,Very Low
Bosque,Very Low
Bowie,Relatively Low
Brazoria,Relatively High
Brazos,Relatively Moderate
Brewster,Relatively Low
Briscoe,Very Low
Brooks,Relatively Low
Brown,Relatively Low
Burleson,Very Low
Burnet,Relatively Low
Caldwell,Relatively Low
Calhoun,Relatively Moderate
Callahan,Very Low
Cameron,Relatively High
Camp,Relatively Low
Carson,Relatively Low
Cass,Relatively Low
Castro,Very Low
Chambers,Relatively Moderate
Cherokee,Relatively Low
Childress,Relatively Moderate
Clay,Very Low
Cochran,Very Low
Coke,Very Low
Coleman,Very Low
Collin,Relatively High
Collingsworth,Very Low
Colorado,Relatively Low
Comal,Relatively Moderate
Comanche,Relatively Low
Concho,Very Low
Cooke,Relatively Moderate
Coryell,Relatively Low
Cottle,Very Low
Crane,Very Low
Crockett,Very Low
Crosby,Very Low
Culberson,Very Low
Dallam,Very Low
Dallas,Relatively High
Dawson,Very Low
Deaf Smith,Relatively Low
Delta,Very Low
Denton,Relatively High
DeWitt,Relatively Moderate
Dickens,Very Low
Dimmit,Very Low
Donley,Very Low
Duval,Very Low
Eastland,Relatively Low
Ector,Relatively Moderate
Edwards,Very Low
Ellis,Relatively Low
El Paso,Relatively Moderate
Erath,Relatively Low
Falls,Very Low
Fannin,Relatively Low
Fayette,Relatively Low
Fisher,Very Low
Floyd,Relatively Low
Foard,Very Low
Fort Bend,Relatively High
Franklin,Very Low
Freestone,Very Low
Frio,Very Low
Gaines,Relatively Low
Galveston,Relatively High
Garza,Very Low
Gillespie,Relatively Low
Glasscock,Very Low
Goliad,Relatively Low
Gonzales,Relatively Moderate
Gray,Relatively Low
Grayson,Relatively Moderate
Gregg,Relatively Moderate
Grimes,Relatively Low
Guadalupe,Relatively Moderate
Hale,Relatively Low
Hall,Very Low
Hamilton,Very Low
Hansford,Very Low
Hardeman,Very Low
Hardin,Relatively Moderate
Harris,Very High
Harrison,Relatively Low
Hartley,Relatively Low
Haskell,Very Low
Hays,Relatively Moderate
Hemphill,Relatively Low
Henderson,Relatively Low
Hidalgo,Relatively High
Hill,Relatively Low
Hockley,Relatively Low
Hood,Relatively Low
Hopkins,Relatively Low
Houston,Very Low
Howard,Relatively Low
Hudspeth,Very Low
Hunt,Relatively Moderate
Hutchinson,Relatively Low
Irion,Very Low
Jack,Very Low
Jackson,Relatively Moderate
Jasper,Relatively Low
Jeff Davis,Very Low
Jefferson,Relatively High
Jim Hogg,Very Low
Jim Wells,Relatively Moderate
Johnson,Relatively Moderate
Jones,Very Low
Karnes,Relatively Low
Kaufman,Relatively Low
Kendall,Relatively Low
Kenedy,Very Low
Kent,Very Low
Kerr,Relatively Low
Kimble,Very Low
King,Very Low
Kinney,Very Low
Kleberg,Relatively Moderate
Knox,Very Low
Lamar,Relatively Low
Lamb,Relatively Low
Lampasas,Very Low
La Salle,Very Low
Lavaca,Relatively Low
Lee,Very Low
Leon,Very Low
Liberty,Relatively Moderate
Limestone,Very Low
Lipscomb,Very Low
Live Oak,Very Low
Llano,Relatively Low
Loving,Very Low
Lubbock,Relatively High
Lynn,Very Low
McCulloch,Very Low
McLennan,Relatively Moderate
McMullen,Very Low
Madison,Very Low
Marion,Very Low
Martin,Very Low
Mason,Very Low
Matagorda,Relatively Moderate
Maverick,Relatively Low
Medina,Relatively Low
Menard,Very Low
Midland,Relatively Moderate
Milam,Relatively Low
Mills,Very Low
Mitchell,Very Low
Montague,Relatively Low
Montgomery,Relatively High
Moore,Relatively Low
Morris,Relatively Low
Motley,Very Low
Nacogdoches,Relatively Moderate
Navarro,Relatively Moderate
Newton,Very Low
Nolan,Relatively Low
Nueces,Relatively High
Ochiltree,Relatively Low
Oldham,Very Low
Orange,Relatively High
Palo Pinto,Relatively Low
Panola,Relatively Low
Parker,Relatively Moderate
Parmer,Relatively Low
Pecos,Very Low
Polk,Relatively Low
Potter,Relatively Moderate
Presidio,Very Low
Rains,Very Low
Randall,Relatively Moderate
Reagan,Very Low
Real,Very Low
Red River,Very Low
Reeves,Very Low
Refugio,Relatively Low
Roberts,Very Low
Robertson,Very Low
Rockwall,Relatively Low
Runnels,Very Low
Rusk,Relatively Low
Sabine,Very Low
San Augustine,Very Low
San Jacinto,Relatively Low
San Patricio,Relatively Moderate
San Saba,Very Low
Schleicher,Very Low
Scurry,Relatively Low
Shackelford,Very Low
Shelby,Relatively Low
Sherman,Very Low
Smith,Relatively Low
Somervell,Very Low
Starr,Relatively Moderate
Stephens,Very Low
Sterling,Very Low
Stonewall,Very Low
Sutton,Very Low
Swisher,Relatively Low
Tarrant,Relatively High
Taylor,Relatively Moderate
Terrell,Very Low
Terry,Very Low
Throckmorton,Very Low
Titus,Relatively Low
Tom Green,Relatively Low
Travis,Relatively High
Trinity,Relatively Low
Tyler,Relatively Low
Upshur,Relatively Low
Upton,Very Low
Uvalde,Relatively Low
Val Verde,Relatively Low
Van Zandt,Relatively Low
Victoria,Relatively Moderate
Walker,Relatively Low
Waller,Relatively Low
Ward,Very Low
Washington,Relatively Low
Webb,Relatively Low
Wharton,Relatively Moderate
Wheeler,Relatively Low
Wichita,Relatively Low
Wilbarger,Relatively Low
Willacy,Relatively Moderate
Williamson,Relatively Moderate
Wilson,Relatively Low
Winkler,Very Low
Wise,Relatively Low
Wood,Very Low
Yoakum,Relatively Low
Young,Relatively Low
Zapata,Very Low
Zavala,Very Low
Beaver,Very Low
Box Elder,Relatively Low
Cache,Relatively Moderate
Carbon,Very Low
Daggett,Very Low
Davis,Relatively Moderate
Duchesne,Very Low
Emery,Very Low
Garfield,Very Low
Grand,Very Low
Iron,Relatively Moderate
Juab,Relatively Low
Kane,Very Low
Millard,Very Low
Morgan,Very Low
Piute,Very Low
Rich,Very Low
Salt Lake,Relatively High
San Juan,Very Low
Sanpete,Relatively Low
Sevier,Very Low
Summit,Relatively Low
Tooele,Relatively Low
Uintah,Very Low
Utah,Relatively High
Wasatch,Very Low
Washington,Relatively High
Wayne,Very Low
Weber,Relatively Moderate
Addison,Very Low
Bennington,Very Low
Caledonia,Very Low
Chittenden,Very Low
Essex,Very Low
Franklin,Very Low
Grand Isle,Very Low
Lamoille,Very Low
Orange,Very Low
Orleans,Very Low
Rutland,Very Low
Washington,Relatively Low
Windham,Relatively Low
Windsor,Relatively Low
Accomack,Relatively Moderate
Albemarle,Relatively Low
Alleghany,Very Low
Amelia,Very Low
Amherst,Very Low
Appomattox,Very Low
Arlington,Relatively Low
Augusta,Very Low
Bath,Very Low
Bedford,Very Low
Bland,Very Low
Botetourt,Very Low
Brunswick,Very Low
Buchanan,Very Low
Buckingham,Very Low
Campbell,Very Low
Caroline,Very Low
Carroll,Very Low
Charles City,Very Low
Charlotte,Very Low
Chesterfield,Relatively Moderate
Clarke,Very Low
Craig,Very Low
Culpeper,Very Low
Cumberland,Very Low
Dickenson,Very Low
Dinwiddie,Very Low
Essex,Relatively Low
Fairfax,Relatively Moderate
Fauquier,Very Low
Floyd,Very Low
Fluvanna,Very Low
Franklin,Very Low
Frederick,Relatively Low
Giles,Very Low
Gloucester,Relatively Low
Goochland,Very Low
Grayson,Very Low
Greene,Very Low
Greensville,Very Low
Halifax,Very Low
Hanover,Relatively Low
Henrico,Relatively Low
Henry,Relatively Low
Highland,Very Low
Isle of Wight,Relatively Low
James City,Relatively Low
King and Queen,Very Low
King George,Very Low
King William,Very Low
Lancaster,Relatively Low
Lee,Very Low
Loudoun,Relatively Low
Louisa,Very Low
Lunenburg,Very Low
Madison,Very Low
Mathews,Relatively Low
Mecklenburg,Relatively Low
Middlesex,Relatively Low
Montgomery,Very Low
Nelson,Very Low
New Kent,Very Low
Northampton,Relatively Low
Northumberland,Relatively Low
Nottoway,Very Low
Orange,Relatively Low
Page,Very Low
Patrick,Very Low
Pittsylvania,Very Low
Powhatan,Very Low
Prince Edward,Very Low
Prince George,Relatively Low
Prince William,Relatively Moderate
Pulaski,Very Low
Rappahannock,Very Low
Richmond,Very Low
Roanoke,Very Low
Rockbridge,Very Low
Rockingham,Relatively Low
Russell,Very Low
Scott,Very Low
Shenandoah,Relatively Low
Smyth,Very Low
Southampton,Relatively Low
Spotsylvania,Relatively Low
Stafford,Relatively Low
Surry,Very Low
Sussex,Very Low
Tazewell,Relatively Low
Warren,Very Low
Washington,Very Low
Westmoreland,Relatively Low
Wise,Very Low
Wythe,Very Low
York,Relatively Low
Alexandria,Relatively Low
Bristol,Very Low
Buena Vista,Very Low
Charlottesville,Very Low
Chesapeake,Relatively Moderate
Colonial Heights,Very Low
Covington,Very Low
Danville,Relatively Low
Emporia,Very Low
Fairfax,Very Low
Falls Church,Very Low
Franklin,Very Low
Fredericksburg,Very Low
Galax,Very Low
Hampton,Relatively Moderate
Harrisonburg,Very Low
Hopewell,Very Low
Lexington,Very Low
Lynchburg,Very Low
Manassas,Very Low
Manassas Park,Very Low
Martinsville,Very Low
Newport News,Relatively Moderate
Norfolk,Relatively Moderate
Norton,Very Low
Petersburg,Very Low
Poquoson,Very Low
Portsmouth,Relatively Moderate
Radford,Very Low
Richmond,Relatively Low
Roanoke,Very Low
Salem,Very Low
Staunton,Very Low
Suffolk,Relatively Low
Virginia Beach,Relatively Moderate
Waynesboro,Very Low
Williamsburg,Very Low
Winchester,Very Low
Adams,Very Low
Asotin,Very Low
Benton,Relatively Moderate
Chelan,Relatively Moderate
Clallam,Relatively Moderate
Clark,Relatively High
Columbia,Very Low
Cowlitz,Relatively Moderate
Douglas,Relatively Low
Ferry,Relatively Low
Franklin,Relatively Low
Garfield,Very Low
Grant,Relatively Low
Grays Harbor,Relatively Moderate
Island,Relatively Low
Jefferson,Relatively Low
King,Very High
Kitsap,Relatively Moderate
Kittitas,Relatively Moderate
Klickitat,Relatively Low
Lewis,Relatively Moderate
Lincoln,Very Low
Mason,Relatively Moderate
Okanogan,Relatively Moderate
Pacific,Relatively Low
Pend Oreille,Very Low
Pierce,Relatively High
San Juan,Very Low
Skagit,Relatively Moderate
Skamania,Relatively Low
Snohomish,Relatively High
Spokane,Relatively Low
Stevens,Very Low
Thurston,Relatively High
Wahkiakum,Very Low
Walla Walla,Relatively Low
Whatcom,Relatively Moderate
Whitman,Very Low
Yakima,Relatively Moderate
Barbour,Very Low
Berkeley,Relatively Low
Boone,Very Low
Braxton,Very Low
Brooke,Very Low
Cabell,Very Low
Calhoun,Very Low
Clay,Very Low
Doddridge,Very Low
Fayette,Very Low
Gilmer,Very Low
Grant,Very Low
Greenbrier,Very Low
Hampshire,Very Low
Hancock,Very Low
Hardy,Very Low
Harrison,Very Low
Jackson,Very Low
Jefferson,Very Low
Kanawha,Relatively Low
Lewis,Very Low
Lincoln,Very Low
Logan,Relatively Low
McDowell,Relatively Low
Marion,Very Low
Marshall,Very Low
Mason,Very Low
Mercer,Very Low
Mineral,Very Low
Mingo,Relatively Low
Monongalia,Very Low
Monroe,Very Low
Morgan,Very Low
Nicholas,Very Low
Ohio,Relatively Low
Pendleton,Very Low
Pleasants,Very Low
Pocahontas,Very Low
Preston,Very Low
Putnam,Very Low
Raleigh,Relatively Low
Randolph,Very Low
Ritchie,Very Low
Roane,Very Low
Summers,Very Low
Taylor,Very Low
Tucker,Very Low
Tyler,Very Low
Upshur,Very Low
Wayne,Very Low
Webster,Very Low
Wetzel,Very Low
Wirt,Very Low
Wood,Very Low
Wyoming,Very Low
Adams,Very Low
Ashland,Very Low
Barron,Relatively Low
Bayfield,Very Low
Brown,Relatively Low
Buffalo,Very Low
Burnett,Very Low
Calumet,Very Low
Chippewa,Relatively Low
Clark,Very Low
Columbia,Relatively Low
Crawford,Relatively Low
Dane,Relatively Moderate
Dodge,Relatively Low
Door,Very Low
Douglas,Very Low
Dunn,Relatively Low
Eau Claire,Relatively Low
Florence,Very Low
Fond du Lac,Relatively Low
Forest,Very Low
Grant,Relatively Low
Green,Very Low
Green Lake,Very Low
Iowa,Very Low
Iron,Very Low
Jackson,Very Low
Jefferson,Relatively Low
Juneau,Very Low
Kenosha,Relatively Low
Kewaunee,Very Low
La Crosse,Relatively Low
Lafayette,Very Low
Langlade,Very Low
Lincoln,Very Low
Manitowoc,Relatively Low
Marathon,Relatively Low
Marinette,Very Low
Marquette,Very Low
Menominee,Very Low
Milwaukee,Relatively Moderate
Monroe,Relatively Low
Oconto,Very Low
Oneida,Very Low
Outagamie,Relatively Low
Ozaukee,Relatively Low
Pepin,Very Low
Pierce,Relatively Low
Polk,Relatively Low
Portage,Relatively Low
Price,Very Low
Racine,Relatively Low
Richland,Very Low
Rock,Relatively Low
Rusk,Very Low
St. Croix,Relatively Low
Sauk,Relatively Low
Sawyer,Very Low
Shawano,Very Low
Sheboygan,Relatively Low
Taylor,Very Low
Trempealeau,Relatively Low
Vernon,Relatively Low
Vilas,Very Low
Walworth,Relatively Low
Washburn,Very Low
Washington,Relatively Low
Waukesha,Relatively Moderate
Waupaca,Very Low
Waushara,Very Low
Winnebago,Relatively Low
Wood,Relatively Low
Albany,Very Low
Big Horn,Very Low
Campbell,Relatively Low
Carbon,Very Low
Converse,Very Low
Crook,Very Low
Fremont,Relatively Low
Goshen,Very Low
Hot Springs,Very Low
Johnson,Very Low
Laramie,Relatively Low
Lincoln,Relatively Low
Natrona,Very Low
Niobrara,Very Low
Park,Very Low
Platte,Very Low
Sheridan,Very Low
Sublette,Very Low
Sweetwater,Very Low
Teton,Relatively Low
Uinta,Very Low
Washakie,Very Low
Weston,Very Low
